Nom,Catégorie,Thème,Adresse,Téléphone,Site web,Latitude,Longitude,Lien Google Maps,Date d'import,Statut,place_id
Mont Choisy Le Golf,activites,golf,"30527 Chem. Vingt Pieds, Grand Baie",+230 260 1000,http://www.montchoisygolf.com/,"-20,0232221","57,5636528",https://maps.google.com/?cid=3895903021099921581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ7_CyPGarfSERrTAIBCgHETY
Anahita Golf Club Mauritius,activites,golf,"La place belgath, PQJQ+4C9, Beau Champ",+230 402 3991,http://golf.anahitamauritius.com/,"-20,2782635","57,7886822",https://maps.google.com/?cid=10427265687659331545&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJrY2CMmTwfCER2b-Nm-UWtZA
Ile aux Cerfs Golf Club,activites,golf,"Pointe Maurice, Trou d'Eau Douce",+230 402 7720,http://www.ileauxcerfsgolfclub.com/,"-20,2722323","57,8035026",https://maps.google.com/?cid=1566024661020540779&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJT-Jq0QzwfCERa3-hzSGjuxU
Mont Choisy Golf Club Entrance,activites,golf,"XHG6+HVR, Grand Baie",+230 260 1000,https://www.montchoisy.com/golf/,"-20,0273509","57,5600931",https://maps.google.com/?cid=6125166870875583615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJa-ttDwCrfSERf7SHCNH2AFU
Excursion de Reve,activites,excursions,"MU, Route royal, Grand Baie 50813",+230 5803 2856,https://www.excursiondereve.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5642873265403165672,"-20,0078234","57,5885366",https://maps.google.com/?cid=7224192945672060496&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJEfhogZOrfSERUH6qazV9QWQ
Mauritius Dream Excursion Tours,activites,excursions,"MU, Royal Road, Grand Baie 30546",+230 5940 2073,https://mauritiusdreamexcursion.com/,"-19,99429","57,5916873",https://maps.google.com/?cid=2990814957000321122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJfeYRYixVfCERYujtfFuCgSk
Happiness Mauritius,activites,excursions,"XHM9+PW7, Grand Baie",+230 5739 3179,,"-20,017703","57,5705299",https://maps.google.com/?cid=3225442720295892112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ6epRTM6rfSERkDSbohATwyw
Tibo-mona excursions,activites,excursions,"MU, Reservoir Road, Grand Baie 30517",+230 5756 2786,,"-20,0179432","57,5708561",https://maps.google.com/?cid=14813220676123555331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ50mw2iGrfSERA_bQm7ghk80
TOPCAT cruises,activites,excursions,"opposite Grand Baie Police Station, Orchidees Street, Grand Baie",+230 5790 8123,,"-20,0151038","57,5830927",https://maps.google.com/?cid=11001441866492693967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJvXIhGgyrfSERz01o5Rb5rJg
Excursion île du nord à île Maurice. La mouette,activites,excursions,"Route Royale MU, Cap Malheureux 31706",+230 5753 8483,http://lamouette-martial.net/,"-19,9859675","57,6223399",https://maps.google.com/?cid=17244499943808035071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJE1rFMb-rfSER_-jrZ1XFUO8
Dauphiné Tours Mauritius,activites,excursions,"B13, Grand Baie",+230 5767 6933,http://www.dauphinetoursmauritius.com/,"-20,0105914","57,5843017",https://maps.google.com/?cid=1857086100318987028&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJ8f190gmrfSERFCPUDvixxRk
Z'ile cruise,activites,excursions,"Sunset Boulevard, Royal Road, Grand Baie",+230 5709 0632,http://www.zilecruise.com/,"-20,0141891","57,5836539",https://maps.google.com/?cid=393444125259425734&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJq28UBQmrfSERxmcN7VjLdQU
"Babacool team,sailing trips( sortie en mer en multicoque dans le nord de l'île Maurice)",activites,excursions,Peyrébere,+230 5750 2305,http://www.trimaranbabacool.com/,"-19,9931396","57,5908966",https://maps.google.com/?cid=13593296089858068273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJf-0gLmqrfSERMU-y-sUWpbw
Keiffel tours,activites,excursions,"Rte de la Salette, Grand Baie",,http://www.keiffeltours.mu/%20www.ilemauriceexcursions.com,"-20,0132078","57,5849296",https://maps.google.com/?cid=11513722321708534880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJxeQyAEWrfSERYEzsA3P1yJ8
One Drop Excursions Mauritius,activites,excursions,"Royal Road, Grand Gaube",+230 5487 3237,http://onedropexcursions.com/,"-20,0054854","57,6646068",https://maps.google.com/?cid=16804653546952903518&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJg-TaFOwBfSERXsuit10fNuk
Blue Vibes,activites,excursions,"Royal Road, Cap Malheureux",+230 5456 9898,https://www.bluevibesltd.com/,"-19,9860623","57,6229777",https://maps.google.com/?cid=8655817776507978575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJO22sYw2rfSERTwNFQWikH3g
Northview Tours,activites,excursions,Grand Baie,+230 5764 9866,https://www.northviewtours.com/,"-20,0104427","57,5841167",https://maps.google.com/?cid=12500453622541015109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,12/07/2026,,ChIJIfrk0QmrfSERRVjN5laIeq0
