# Légende des thèmes valides (colonne themes, séparés par des virgules, sans espace) :
# mauricienne=Mauricienne & créole, fruits-de-mer=Fruits de mer, indienne=Indienne,
# asiatique=Chinoise & asiatique, europeenne=Européenne & française, italien=Italien & pizza,
# grillades=Viandes & grillades, vegetarien=Végétarien, fastfood=Fast-food & snack,
# bar=Bar & lounge, cafe=Café & pâtisserie
# Exemple : mauricienne,fruits-de-mer
id;name;address;phone;website;themes
la-kaza;La Kaza;Sunset Boulevard, Route royale, Grand Baie;+230 5740 7545;http://www.la-kaza.mu/;
au-feu-de-bois;Au Feu De Bois;Chem. Vingt Pieds, Grand Baie;+230 5942 0708;;
restaurant-coolen-chez-ram;Restaurant Coolen Chez Ram;Royale Road, Près de Tamil Temple,, Grand Baie;+230 263 8569;https://chezram.com/sp/;
la-rougaille-creole;La Rougaille Creole;B13, Grand Baie;+230 263 8449;;
casa-verde;Casa verde;La salette MU, B11, Grand Baie 30525;+230 269 0965;;
the-trojan-horse-the-greeks-are-inside;The Trojan Horse (The Greeks are Inside);Shop 15 Dodo Square, Royal Rd, Grand Baie;+230 5753 2452;http://www.thetrojanhorse.mu/;
amazigh;AMAZIGH;School lane, Grand Baie;+230 5731 6062;;
la-terrasse;La Terrasse;Rte Royal, Grand Baie;+230 263 6391;;
sauterelle-restaurant;Sauterelle Restaurant;SUNSET BOULEVARD, Royal Rd, Grand Baie;+230 263 8836;;
le-poivrier;Le Poivrier;COASTAL ROAD, AROUND THE WORLD, Grand Baie;+230 5702 5956;https://lepoivrier.mu/;
cocoloko;Cocoloko;XHQM+CRV, B13, Grand Baie;+230 263 1241;https://www.cocoloko.net/;
da-terra-restaurant-cafe;Da Terra Restaurant & Café;Coastal Road, Grand Baie;+230 5481 0000;;
mayniko-restaurant-lounge;Mayniko Restaurant & Lounge;B13 Royal Rd, Grand Baie;+230 5453 9409;;
la-payotte-restaurant-grand-baie-cocktail-bar-tapas;La Payotte Restaurant Grand Baie - Cocktail Bar & Tapas;Royal road, Grand Baie;+230 5452 4915;http://lapayotte.mu/;
botteghita-ristorante-bar;Botteghita Ristorante & Bar;B13, Grand Baie;+230 263 1635;https://botteghita.com/;
banditos-grand-baie;Banditos Grand Baie;MU, La Salette Rd, Grand Baie 12157;+230 5708 7958;;
la-cabane-de-jules;la cabane de Jules;Rte de la Salette, Grand Baie;+230 263 2336;https://www.facebook.com/La-Cabane-de-Jules-1048065131924145/;
lazy-lobster;Lazy Lobster;MU, Royal Road, Grand Baie 30510;+230 209 8000;https://veranda-resorts.com/en/mauritius-hotel-veranda-grand-baie/restaurants-and-bars;
n-joy;N 'JOY;la cuvette beach, Grand Baie;+230 5500 8601;http://njoy.mu/;
ai-kisu-lux-grand-baie;Ai KISU - LUX* Grand Baie;MU, MU LUX*, Coastal Road, Grand Baie 30510;+230 209 2200;https://www.luxresorts.com/en/mauritius/hotel/luxgrandbaie/restaurants-bars/ai-kisu?hotel=LUX-Grand-Baie;
the-fisherman-lounge;The Fisherman Lounge;Coeur de Ville, Grand Baie;+230 5466 3474;http://www.thefishermanlounge.com/;
beach-house-restaurant-bar;Beach House Restaurant & Bar;Royal Rd., B13, Grand Baie;+230 263 2599;https://www.thebeachhouse.mu/;
beach-rouge-lux-grand-baie;Beach Rouge - LUX* Grand Baie;MU, MU LUX*, Coastal Road, Grand Baie 30510;+230 209 2200;https://www.luxresorts.com/en/mauritius/hotel/luxgrandbaie/restaurants-bars/beach-rouge;
eden-beach-restaurant-lounge-bar;Eden Beach Restaurant Lounge-Bar;Costal Rd, Grand Baie;+230 263 1123;;
neo-s;Neo's;XHPM+253, Coastal Road, Grand Baie;+230 268 1799;http://topdeck.mu/;
park25-restaurant;Park25 Restaurant;MU, XHRJ+CMQ Boulevard de, Coastal Road, Grand Baie 30515;+230 263 8293;https://www.facebook.com/park25grandbaie;
riri-foods-mauritius;RIRI FOODS, MAURITIUS;La Cuvette Beach, Grand Baie;+230 5810 4919;;
coco-piment;Coco piment;2H5V+JF2, Grand Baie;+230 5802 3386;;
blue-lagoon-cafe;Blue Lagoon Cafe;Route Royale, Grand Baie;+230 263 3889;;
bullies-social;Bullies social;Ventura complex, Route Royal, Grand Baie;+230 5457 1377;http://www.bulliessocial.com/;
lecapitaine-restaurant;lecapitaine.restaurant;B13 Royal Rd, Grand Baie;+230 5253 5505;https://www.lecapitaine.restaurant/;
2beach-club-by-2futures;2Beach Club by 2Futures;Impasse Pointe d'Azur, Grand Baie;+230 5800 4713;https://2beachclub.mu/;
chez-sabiir-briani;Chez Sabiir Briani;b13 Grand Baie Rd, Grand Baie;;;
bisou-rooftop-bar-restaurant-lux-grand-baie;Bisou Rooftop Bar & Restaurant - LUX* Grand Baie;MU, LUX* Grand Baie, Coastal Road, Grand Baie 30510;+230 209 2200;https://www.luxresorts.com/en/mauritius/hotel/luxgrandbaie/restaurants-bars/bisou?hotel=LUX-Grand-Baie;
sunset-cafe-restaurant-grand-baie;Sunset Café-Restaurant Grand Baie;Grand Baie;+230 263 9602;https://sunsetcafe-restaurant.com/;
d-ernys-restaurant;D'Ernys Restaurant;Grand Baie;+230 5772 6755;;
